,chip,month,score
174,05476041,6,0.949
175,0548c792,10,0.955
176,0548f884,8,0.986
177,054d4908,8,0.952
178,054de818,10,0.953
179,056224a2,7,0.929
180,0564f89d,9,0.957
181,05681655,9,0.959
182,057088b1,9,0.927
183,0571b175,0,0.965
184,057ebe07,9,0.95
185,05a903fb,6,0.937
186,05b0083d,11,0.925
187,05b643ec,2,0.931
188,05b9612e,0,0.899
189,05c35f7f,9,0.961
190,05cb0ff2,8,0.909
191,05d31b5c,7,0.928
192,05e52522,7,0.959
193,05fb3175,0,0.5449999999999999
194,05fd5ad1,9,0.925
195,0600f14b,0,0.97
196,06056511,0,0.965
197,0610fc19,0,0.958
198,06137b43,9,0.977
199,06158185,8,0.92
200,061637a0,8,0.981
201,061c4601,8,0.96
202,0620ddb2,1,0.985
203,06212e56,8,0.959
204,0625a02b,10,0.9390000000000001
205,062b353e,9,0.971
206,0636b264,5,0.888
207,06479ab2,0,0.966
208,06483cd7,10,0.962
209,0651d43e,5,0.954
210,065520d3,9,0.977
211,0655e85d,0,0.948
212,0658093b,9,0.993
213,065d3bd8,2,0.986
214,065e3a97,11,0.955
215,06643e05,8,0.9319999999999999
216,066b0311,0,0.914
217,067248a3,8,0.923
218,0676eb5d,9,0.955
219,0678c538,10,0.6719999999999999
220,06843249,7,0.975
221,068e2563,9,0.943
222,06917114,7,0.951
223,0693e0a4,0,0.952
224,06b1fc3a,8,0.984
225,06b41dfc,10,0.927
226,06df3742,8,0.948
227,06e3d6af,9,0.953
228,06e891e5,0,0.963
229,06f112dd,8,0.985
230,06fc9487,2,0.927
231,071b57b1,2,0.965
232,071dc8a5,10,0.952
233,0729ea67,0,0.985
234,07378cde,8,0.962
235,073fb3e5,11,0.96
236,0751323a,9,0.924
237,07580a94,8,0.974
238,0761c4f1,7,0.948
239,07677e7e,8,0.966
240,076abd46,2,0.948
241,07741cb0,11,0.94
242,07765e15,8,0.973
243,077eaf9a,0,0.955
244,0781e3ed,7,0.915
245,0787865c,7,0.966
246,078ec944,9,0.96
247,07973811,8,0.964
248,07a084ca,9,0.965
249,07b9823a,9,0.961
250,07bcc6d6,10,0.966
251,07d1864c,4,0.914
252,07d6e963,8,0.982
253,07e3ec27,5,0.935
254,07ebc1f7,8,0.968
255,07f11c88,2,0.961
256,07f3cd5e,9,0.963
257,07f9f6a4,2,0.965
258,08084efe,8,0.951
259,080d8f1d,7,0.948
260,080ed0c5,8,0.965
261,080fb169,8,0.97
262,08103218,11,0.898
263,0817358a,2,0.972
264,0823f904,8,0.9339999999999999
265,08251bb9,0,0.954
266,082cce42,8,0.949
267,0836d4c7,3,0.937
268,083a02c7,11,0.961
269,083f0dfb,9,0.921
270,08404854,0,0.901
271,084a44a0,4,0.911
272,085fcb0f,7,0.904
273,08676196,8,0.974
274,08686874,8,0.978
275,086c47df,10,0.965
276,086d7d16,9,0.912
277,088cd6f2,8,0.929
278,088dd40f,2,0.854
279,088e7b1a,11,0.947
280,089c5af4,8,0.982
281,08a18d5c,7,0.979
282,08a4dfe0,8,0.962
283,08a643d6,8,0.938
284,08a806a7,8,0.949
285,08c83160,11,0.92
286,08e0ff94,0,0.913
287,08ecfd3c,8,0.909
288,08f6b400,2,0.923
289,08f8e396,9,0.922
290,08ff8dd3,8,0.96
291,090636b0,7,0.966
292,090cec45,0,0.878
293,09171a70,2,0.949
294,09188771,8,0.95
295,09203898,2,0.963
296,0921957f,9,0.967
297,0929e279,8,0.964
298,092ce360,8,0.942
299,093a11a8,10,0.962
300,093a9e24,7,0.966
301,094567e5,8,0.958
302,0950a3da,8,0.962
303,095979c0,7,0.929
304,095cdde6,0,0.856
305,095d9117,7,0.975
306,0964800b,8,0.98
307,0979f778,7,0.883
308,097d3257,10,0.951
309,0980ecf3,8,0.94
310,09816493,0,0.926
311,0983a0f7,5,0.976
312,09914ef8,10,0.911
313,099191b9,7,0.94
314,09974f8c,8,0.952
315,099c6b3b,11,0.893
316,099e1a11,1,0.845
317,09a2cc22,8,0.988
318,09a30b35,1,0.946
319,09a84ecc,11,0.964
320,09a8596e,8,0.929
321,09cf24b5,8,0.952
322,09d20656,0,0.931
323,09dd7b70,8,0.975
324,09dde789,8,0.976
325,09e13567,2,0.898
326,09e36dd8,0,0.971
327,09e9ac7f,9,0.965
328,09f19109,1,0.641
329,09fd6d1a,8,0.981
330,0a04e5c1,2,0.977
331,0a073fe4,9,0.929
332,0a096068,3,0.893
333,0a105fce,8,0.968
334,0a132a88,8,0.94
335,0a35ad65,6,0.962
336,0a35b443,2,0.886
337,0a39dd9e,8,0.929
338,0a3d8f03,11,0.965
339,0a3faec0,1,0.968
340,0a58ac70,9,0.904
341,0a5fa091,3,0.962
342,0a65fa3f,7,0.953
343,0a676e24,0,0.978
344,0a684a97,11,0.973
345,0a6bc33f,0,0.956
346,0a781cab,0,0.98
347,0a81b559,5,0.965
348,0a81cdee,8,0.959
349,0a8b6998,7,0.977
350,0a9d13a4,8,0.921
351,0aa21699,0,0.953
352,0aa7fb10,8,0.921
353,0aac1e46,0,0.961
354,0ab097c9,8,0.971
355,0ac443da,8,0.981
356,0acc54b4,8,0.958
357,0acd8a27,0,0.922
358,0ad475a1,11,0.954
359,0ad57788,0,0.96
360,0ad655e2,8,0.952
361,0adf9e66,9,0.908
362,0ae6324a,7,0.966
363,0b0926dd,8,0.956
364,0b0eec49,8,0.953
365,0b255824,9,0.955
366,0b2c3886,4,0.958
367,0b30548f,10,0.901
368,0b3349ff,11,0.948
369,0b353ba8,8,0.963
370,0b36d307,0,0.908
371,0b45f44d,6,0.949
372,0b485d3b,8,0.923
373,0b5dd5d0,8,0.952
374,0b5de22d,8,0.926
375,0b6ae2b1,8,0.955
376,0b6f6d40,9,0.902
377,0b792613,8,0.938
378,0b8d5875,9,0.912
379,0ba2a063,0,0.982
380,0ba31a2c,0,0.835
381,0ba7bca7,11,0.957
382,0baa5577,8,0.99
383,0bac0847,7,0.9359999999999999
384,0badc5ba,3,0.9359999999999999
385,0bc9709a,9,0.914
386,0bc9b53c,8,0.953
387,0bdba623,6,0.974
388,0bde3a29,9,0.964
389,0be278ec,8,0.976
390,0bf069c3,8,0.903
391,0bf46883,8,0.971
392,0bf98345,9,0.969
393,0bfa0434,9,0.972
394,0c03fb03,8,0.901
395,0c0b40d3,0,0.882
396,0c13c720,8,0.924
397,0c19b4a5,9,0.916
398,0c1b5ede,8,0.963
399,0c1dea12,9,0.957
400,0c1e1474,7,0.913
401,0c258ba6,9,0.904
402,0c2af57b,2,0.97
403,0c340511,0,0.995
404,0c48b873,10,0.977
405,0c4a3582,7,0.966
406,0c4aafbf,8,0.963
407,0c4f11f0,0,0.954
408,0c65a284,9,0.964
409,0c6dc601,8,0.985
410,0c7ea7a7,2,0.9
411,0c9539fe,7,0.966
412,0c9d78ab,8,0.954
413,0ca16dfd,9,0.924
414,0ca69c96,9,0.963
415,0cb01158,10,0.959
416,0cc46779,7,0.9390000000000001
417,0cc4de55,7,0.963
418,0cd8ffb5,7,0.924
419,0cda02ad,0,0.904
420,0cdb980d,8,0.952
421,0cdd0050,8,0.966
422,0d0be2c8,8,0.9359999999999999
423,0d109e74,1,0.978
424,0d129e66,3,0.962
425,0d1c68af,0,0.988
426,0d226508,7,0.923
427,0d29f58c,3,0.845
428,0d2b5776,8,0.975
429,0d37cb5f,9,0.989
430,0d40d2ba,0,0.902
431,0d43e377,7,0.912
432,0d445fb6,11,0.977
433,0d46f24a,8,0.959
434,0d4b9de6,5,0.956
435,0d4bbc1a,6,0.95
436,0d5bc776,6,0.976
437,0d665376,9,0.964
438,0d68af9c,7,0.9319999999999999
439,0d694ba9,8,0.978
440,0d710330,9,0.965
441,0d820bc7,4,0.933
442,0d8e3338,8,0.994
443,0d90aa12,9,0.94
444,0d93826f,10,0.849
445,0d9bc03c,9,0.921
446,0d9d5ac6,0,0.916
447,0dbe745e,11,0.961
448,0dc14cfd,8,0.965
449,0dc5a9b3,10,0.968
450,0dd2d6c9,10,0.968
451,0dd93df8,0,0.904
452,0ddd95d2,8,0.925
453,0de178b7,7,0.906
454,0de54a5e,7,0.944
455,0e04c0c7,10,0.955
456,0e081ce3,9,0.966
457,0e0dfb3b,7,0.862
458,0e174295,2,0.844
459,0e19de83,8,0.912
460,0e1b75bc,8,0.935
461,0e21d97c,8,0.976
462,0e2f6368,9,0.976
463,0e50ca04,7,0.971
464,0e5fff30,9,0.96
465,0e67339f,10,0.918
466,0e67ed1e,10,0.928
467,0e6911dd,5,0.9319999999999999
468,0e6cd7a8,8,0.948
469,0e74f3ca,8,0.906
470,0e826cd4,8,0.958
471,0e82ba8f,9,0.942
472,0e83c7fe,8,0.97
473,0e8b2ac7,1,0.972
474,0e8efa76,11,0.961
475,0e8f061c,0,0.901
476,0e92cd13,0,0.866
477,0e95dc51,6,0.948
478,0ea3ff4c,8,0.973
479,0ea789a8,10,0.953
480,0eaa6bdf,1,0.961
481,0eb18cbe,8,0.961
482,0ebea80a,8,0.962
483,0ebf5d45,7,0.977
484,0ebf6765,8,0.917
485,0ec976dc,9,0.985
486,0ecb75df,0,0.926
487,0ecc9585,10,0.97
488,0ed6856a,9,0.991
489,0ee6ad89,7,0.968
490,0ef7b574,9,0.968
491,0efa5c94,9,0.903
492,0f07f1d0,0,0.947
493,0f08c93b,10,0.98
494,0f0a493a,5,0.96
495,0f119d95,11,0.954
496,0f123dad,9,0.972
497,0f24e6a8,2,0.97
498,0f26a281,8,0.926
499,0f26e952,6,0.947
500,0f28166a,9,0.962
501,0f3dfa71,8,0.9299999999999999
502,0f478b85,7,0.95
503,0f54b847,1,0.935
504,0f5a4563,8,0.946
505,0f5d3266,9,0.922
506,0f663c46,9,0.916
507,0f687c36,10,0.969
508,0f6faf05,8,0.944
509,0f705e95,0,0.904
510,0f709309,8,0.958
511,0f75684e,11,0.961
512,0f77b53e,3,0.987
513,0f8a4733,3,0.9319999999999999
514,0f8f5c4e,9,0.925
515,0f908375,9,0.957
516,0f941205,9,0.945
517,0f967a67,8,0.972
518,0f97ca13,2,0.9319999999999999
519,0f9cf58a,0,0.917
520,0fa196fb,7,0.966
521,0fa1f946,2,0.971
522,0fae8d98,10,0.954
523,0fba70be,7,0.972
524,0fbaeaed,0,0.96
525,0fbff89f,8,0.919
526,0fc676e7,0,0.897
527,0fc70cb9,8,0.968
528,0fcf82e4,8,0.952
529,0fd2954e,7,0.972
530,0fd644ae,7,0.96
531,0fd7b6dd,9,0.986
532,0fdb9f77,8,0.969
533,0fdd733f,7,0.973
534,0fde7165,8,0.992
535,0feabc85,8,0.902
536,0fef27ce,3,0.881
537,0ff268b1,7,0.919
538,0ffaa79e,9,0.969
539,100c9e0c,8,0.968
540,10148836,5,0.8029999999999999
541,1022440a,6,0.943
542,1023cbd6,7,0.959
543,10339b8e,8,0.982
544,10429d71,8,0.96
545,10519639,4,0.926
546,1088bebb,7,0.963
547,108f49f3,10,0.911
548,109117ef,10,0.957
549,109560c3,9,0.97
550,109add1e,8,0.971
551,109be0f6,9,0.95
552,10a07ed0,5,0.88
553,10a179b8,8,0.964
554,10aec4e9,6,0.9359999999999999
555,10b290d1,4,0.957
556,10b2e090,7,0.918
557,10b7aa9a,3,0.9
558,10bca2b9,9,0.964
559,10c4a409,7,0.944
560,10c4a551,10,0.977
561,10c903e4,10,0.904
562,10cddd46,7,0.97
563,10d8338c,1,0.9390000000000001
564,10dd7864,9,0.951
565,10ddceda,9,0.973
566,10e2ac42,10,0.958
567,10e402d8,1,0.948
568,10e8d157,2,0.935
569,10eb4b3e,8,0.949
570,10fcf382,10,0.991
571,11082fab,11,0.945
572,1116e6fa,7,0.792
573,1117109a,11,0.976
574,1121c294,0,0.947
575,11220d4c,7,0.978
576,1141c57b,7,0.907
577,1145aa56,9,0.919
578,114cdf32,11,0.955
579,114ce554,1,0.963
580,115ae9a0,7,0.968
581,115ff5d8,8,0.917
582,11679ec2,8,0.958
583,11684502,11,0.937
584,116917f1,7,0.981
585,116e9d64,7,0.953
586,117b670a,7,0.958
587,1194d9b8,9,0.914
588,1199f6fa,8,0.9339999999999999
589,11a05bb0,6,0.8160000000000001
590,11acb23f,2,0.969
591,11b305f0,7,0.924
592,11b99653,9,0.9359999999999999
593,11c945aa,11,0.962
594,11db9e19,10,0.98
595,11dfb643,4,0.86
596,11e4de70,8,0.96
597,11fc4d5f,8,0.991
598,11fe604f,0,0.917
599,11feb2e5,2,0.913
600,1210a461,8,0.953
601,121f6463,11,0.9390000000000001
602,12224d5f,10,0.959
603,122ef21e,7,0.957
604,123067b1,10,0.922
605,1232b976,8,0.952
606,124f631a,4,0.954
607,1250c93f,2,0.8049999999999999
608,1252f4d7,1,0.954
609,12534830,9,0.9299999999999999
610,1259d0a9,3,0.832
611,125b32ae,8,0.974
612,128287c0,9,0.959
613,128adae8,8,0.927
614,128eb2aa,9,0.984
615,1291713b,9,0.926
616,12a71535,7,0.973
617,12b8cf9c,9,0.943
618,12c02d4b,9,0.962
619,12cc0324,10,0.9359999999999999
620,12d4474f,8,0.965
621,12d58dcc,9,0.904
622,12d934e3,5,0.926
623,12e972b8,9,0.937
624,12ed637a,8,0.958
625,12f74127,11,0.966
626,12fb5503,9,0.903
627,12fd7631,2,0.98
628,1307a04a,9,0.974
629,131806e4,7,0.949
630,131c9c06,3,0.96
631,1324f4d5,9,0.968
632,132590e4,6,0.40900000000000003
633,13263137,8,0.956
634,13389308,10,0.958
635,134430e4,4,0.902
636,13444622,0,0.976
637,1348d51a,10,0.963
638,135027e8,5,0.968
639,1355dfaa,7,0.955
640,135da382,8,0.948
641,136423b2,8,0.944
642,136af50d,9,0.919
643,136e2139,8,0.904
644,137884a2,8,0.961
645,1379a8c4,10,0.953
646,137c96c6,7,0.972
647,137eb3f7,8,0.956
648,1380e8f4,11,0.951
649,1385fc6b,4,0.961
650,13892357,9,0.979
651,138bc232,8,0.954
652,1398c186,7,0.963
653,13a080c9,0,0.863
654,13a24a0e,0,0.967
655,13b3308d,9,0.974
656,13c3cd1e,8,0.927
657,13cc8832,4,0.971
658,13cf35fa,2,0.853
659,13e8c3a5,5,0.974
660,13f5a73e,4,0.953
661,13fc1f56,9,0.9410000000000001
662,13fc84d8,6,0.946
663,1410e147,0,0.951
664,1417b0a6,8,0.961
665,14279b82,9,0.924
666,1436fa9d,8,0.957
667,14397bfb,8,0.9359999999999999
668,1446b274,7,0.947
669,144e144c,0,0.969
670,145d0600,11,0.953
671,1460c6b1,8,0.978
672,14633304,8,0.982
673,146c7d5c,10,0.97
674,1475c48e,6,0.969
675,147c9028,7,0.9359999999999999
676,1481964f,8,0.993
677,1481ee37,8,0.956
678,14888ef2,8,0.927
679,1490037d,7,0.956
680,149f144d,8,0.958
681,14ba8aab,8,0.922
682,14cd6946,10,0.964
683,14cf1ec4,9,0.997
684,14d3b92b,9,0.933
685,14db0101,7,0.956
686,14e2540f,1,0.982
687,14fe1473,8,0.957
688,150299cf,7,0.913
689,150695ef,8,0.922
690,150b249d,8,0.973
691,1510e9cd,4,0.937
692,1511cb4d,8,0.951
693,15154fa6,8,0.97
694,151cf430,7,0.952
695,153a51b7,0,0.979
696,153fb447,8,0.986
697,1541e9dc,10,0.904
698,1541fb61,5,0.895
699,1549f396,10,0.993
700,15524a1f,9,0.966
701,1556ffec,9,0.953
702,155fbfd7,0,0.92
703,15623d55,0,0.912
704,1567ab76,8,0.9339999999999999
705,1569b4e2,9,0.978
706,156a36c8,7,0.955
707,156a6a96,9,0.965
708,157158e8,3,0.972
709,15728cd4,9,0.928
710,1580dc60,4,0.952
711,159a09be,1,0.8009999999999999
712,159a4fce,1,0.956
713,15ab3b9a,10,0.992
714,15b23ce1,7,0.978
715,15bc6b41,3,0.91
716,15bf4479,8,0.958
717,15c7876b,1,0.777
718,15ca148b,0,0.95
719,15d03d91,9,0.951
720,15e2454a,8,0.907
721,15e43b1c,10,0.974
722,15e8a734,5,0.953
723,15f686c8,8,0.955
724,15fbfeff,8,0.965
725,15ff0c73,9,0.974
726,161ca1ea,5,0.966
727,1628fba4,10,0.9299999999999999
728,162bdc23,9,0.915
729,163ae886,0,0.948
730,163e6988,9,0.971
731,1648a27a,10,0.907
732,1657fc67,8,0.973
733,166078d6,8,0.98
734,16635583,8,0.968
735,166be7d7,0,0.901
736,16709fa3,2,0.964
737,168d2687,7,0.996
738,169059e0,4,0.785
739,1693843f,7,0.921
740,1693bbe7,8,0.937
741,16999324,5,0.812
742,16a87337,8,0.942
743,16afe4a7,7,0.938
744,16b80308,8,0.954
745,16c09f38,8,0.965
746,16c80351,10,0.924
747,16d8cac6,10,0.948
748,16db3af7,0,0.959
749,16df9dc7,4,0.517
750,16f624b6,8,0.965
751,16fc7acc,10,0.947
752,17058554,3,0.982
753,1718f00d,7,0.949
754,171caf70,9,0.974
755,1727ff76,8,0.906
756,173902ba,8,0.976
757,173f6c91,5,0.926
758,17432244,7,0.972
759,1746b831,1,0.961
760,174ca2b3,5,0.983
761,17512095,8,0.988
762,1753a3b1,10,0.944
763,1756103d,9,0.966
764,175c2e5e,6,0.43400000000000005
765,176e5ab2,7,0.928
766,177a7af9,8,0.985
767,177bab49,0,0.974
768,177ce4ba,7,0.964
769,179095b6,9,0.921
770,17912870,9,0.907
771,17912e75,0,0.929
772,179460ce,7,0.919
773,179cfc99,8,0.947
774,179eedaa,10,0.954
775,17a40ea5,5,0.791
776,17ad734b,0,0.959
777,17b83678,9,0.768
778,17c2a733,9,0.938
779,17c3913b,9,0.94
780,17d0234d,8,0.973
781,17d0eeb0,10,0.962
782,17de67d1,9,0.903
783,17e8e8be,9,0.953
784,17eb4d69,0,0.97
785,17f54050,9,0.956
786,17fd0184,8,0.993
787,180eef35,9,0.98
788,1811929e,10,0.942
789,1816d18d,0,0.964
790,1820f58c,9,0.964
791,18233e50,7,0.989
792,182b00e9,7,0.964
793,1834b1fc,8,0.953
794,183a0b6c,1,0.881
795,183ee57b,8,0.966
796,1848af90,0,0.953
797,1856baeb,8,0.925
798,18595b6b,10,0.931
799,18694516,0,0.879
800,186a1895,9,0.966
801,186c990c,9,0.957
802,186ddf71,4,0.907
803,1876694c,8,0.972
804,187cf18b,7,0.966
805,188772ab,8,0.916
806,18a96bec,0,0.976
807,18ab8a17,8,0.961
808,18d3b697,7,0.924
809,18d952b3,10,0.9410000000000001
810,18ef433e,9,0.91
811,18f1047f,9,0.953
812,1904d828,0,0.904
813,190974c2,8,0.977
814,190bb25c,6,0.9
815,19149c65,0,0.969
816,19204d6f,7,0.955
817,1925f7d8,9,0.9410000000000001
818,192eb2e0,9,0.904
819,193364a3,10,0.964
820,19339797,8,0.915
821,19354358,8,0.944
822,1936f8a5,8,0.961
823,19385711,9,0.973
824,193d4a66,4,0.938
825,1942f772,9,0.962
826,194366ae,4,0.988
827,19457017,4,0.9
828,194f6b2f,11,0.905
829,195487ec,1,0.95
830,196298ea,8,0.972
831,196c199c,8,0.977
832,19720e70,8,0.9359999999999999
833,197e48d0,9,0.972
834,19842835,8,0.952
835,1987c5e7,8,0.938
836,1990d8e4,3,0.988
837,1993b36e,7,0.994
838,19a0fe11,8,0.9390000000000001
839,19aa0cc6,7,0.988
840,19ae04fe,8,0.9339999999999999
841,19bdd036,9,0.977
842,19c50fe1,6,0.898
843,19ca3adf,9,0.977
844,19ccf803,8,0.927
845,19d7cbd4,9,0.954
846,19da9e8f,7,0.951
847,19e57ad4,9,0.971
848,19e5e877,8,0.974
849,19e8e599,7,0.905
850,19ea29be,9,0.929
851,19fd52db,0,0.942
852,1a00c008,10,0.906
853,1a01514c,8,0.924
854,1a1addd1,7,0.928
855,1a1f591d,7,0.9359999999999999
856,1a2e7791,8,0.956
857,1a346c55,8,0.976
858,1a5fcd05,8,0.959
859,1a65b34b,8,0.95
860,1a6df311,9,0.928
861,1a7b9694,7,0.999
862,1a7ddc2a,8,0.9359999999999999
863,1a7ff67a,8,0.978
864,1a8b952f,11,0.909
865,1a9adc0a,9,0.968
866,1a9e2daa,4,0.928
867,1aa3f35a,4,0.953
868,1aab2ea9,8,0.931
869,1aab5941,8,0.904
870,1ac58eda,7,0.97
871,1acdf4b6,8,0.961
872,1ad89b8a,1,0.944
873,1adefc20,8,0.967
874,1aebea76,9,0.904
875,1af64c1a,2,0.951
876,1b1593e8,8,0.919
877,1b222645,9,0.958
878,1b35b32d,8,0.969
879,1b3c30c3,7,0.917
880,1b3d7911,6,0.94
881,1b3ede02,4,0.9359999999999999
882,1b46e768,7,0.942
883,1b529f31,8,0.971
884,1b637aff,0,0.637
885,1b6d359c,0,0.9339999999999999
886,1b6e62fd,1,0.958
887,1b7a76f8,5,0.8240000000000001
888,1b82cc99,11,0.985
889,1b875bb0,2,0.949
890,1b8c97f8,6,0.961
891,1b8fc47d,7,0.919
892,1b9151ba,9,0.992
893,1b9366bb,10,0.973
894,1b940233,10,0.861
895,1b9a4249,10,0.957
896,1b9eb19c,9,0.982
897,1ba61dc5,9,0.975
898,1ba7050d,7,0.951
899,1bb91fe9,0,0.946
900,1bbb53f8,2,0.935
901,1bc0d9ae,9,0.983
902,1bcc6727,2,0.869
903,1bd00a0a,10,0.933
904,1bd0b18f,10,0.976
905,1bd3ee4a,0,0.904
906,1bd933c5,8,0.92
907,1bebc830,7,0.919
908,1bed1748,9,0.907
909,1bf613a4,7,0.922
910,1bffc196,10,0.964
911,1c04573f,0,0.96
912,1c148fd3,9,0.942
913,1c1b81c5,8,0.973
914,1c1d8121,8,0.982
915,1c28eda9,1,0.5329999999999999
916,1c2a6886,3,0.969
917,1c2d43ef,8,0.958
918,1c312517,0,0.959
919,1c336d22,8,0.973
920,1c5787b1,11,0.977
921,1c736465,11,0.933
922,1c81862c,9,0.921
923,1c86e26b,8,0.905
924,1c9623a5,5,0.785
925,1ca90e13,0,0.88
926,1cb30c14,8,0.903
927,1cba4cb1,7,0.918
928,1cc02390,3,0.749
929,1cc6f00a,9,0.965
930,1cc6f78e,7,0.954
931,1cd4956a,2,0.942
932,1cd6323f,6,0.921
933,1cec2f2a,10,0.972
934,1cf21b01,0,0.796
935,1d09f0c5,9,0.974
936,1d0b56ee,7,0.966
937,1d0dea6d,8,0.923
938,1d14bdf1,7,0.977
939,1d1bc8a6,8,0.9390000000000001
940,1d2d0900,1,0.899
941,1d2e7fe8,10,0.929
942,1d4a14a9,7,0.928
943,1d4b9701,11,0.944
944,1d67d611,10,0.985
945,1d6f0a50,8,0.954
946,1d7700eb,8,0.9319999999999999
947,1d780d43,7,0.957
948,1d8197ac,4,0.966
949,1d894be4,2,0.9319999999999999
950,1d91f6c0,0,0.953
951,1d98f768,8,0.961
952,1d9b9f68,8,0.952
953,1da8bab2,9,0.975
954,1dae5100,8,0.944
955,1dafc60e,9,0.977
956,1dbb1f3b,8,0.977
957,1dc17c6e,8,0.953
958,1dc400fb,11,0.957
959,1dd63a3c,8,0.977
960,1dd88b4d,7,0.879
